Source;Group;species;Organ;Organ (details);Growth form;Climate;RP;AP;RAP
Martinez-Cabrera 2009;Angiosperm;Vernonanthura montevidensis;stem;trunk;angio tree;subtropical;46.02;1.4;47.42
Martinez-Cabrera 2009;Angiosperm;Ximenia americana;stem;trunk;angio tree;subtropical;9.98;3.2;13.18
Martinez-Cabrera 2009;Angiosperm;Ziziphus obtusiflia;stem;trunk;angio tree;temperate;20.16;41;61.16
Mauseth 1997;Angiosperm;Acanthocereus tetragonus;stem;cactus wood;succulent;subtropical;42;5.2;47.2
Mauseth 1997;Angiosperm;Acanthocereus tetragonus;stem;cactus wood;succulent;subtropical;54;41.8;95.8
Mauseth 1997;Angiosperm;Cleistocactus icosagonus;stem;cactus wood;succulent;subtropical;29.2;12.2;41.4
Mauseth 1997;Angiosperm;Cleistocactus variispinus;stem;cactus wood;succulent;subtropical;42.6;4.9;47.5
Mauseth 1997;Angiosperm;Coleocephalocereus aureus;stem;cactus wood;succulent;subtropical;37.3;3.4;40.7
Mauseth 1997;Angiosperm;Coleocephalocereus aureus;stem;cactus wood;succulent;subtropical;42.4;33.5;75.9
Mauseth 1997;Angiosperm;Dendrocereus nudiflorus;stem;cactus wood;succulent;subtropical;38.2;4.1;42.3
Mauseth 1997;Angiosperm;Dendrocereus nudiflorus;stem;cactus wood;succulent;subtropical;32.4;60;92.4
Mauseth 1997;Angiosperm;Echinopsis chiloensis;stem;cactus wood;succulent;subtropical;47.1;7;54.1
Mauseth 1997;Angiosperm;Echinopsis deserticola;stem;cactus wood;succulent;subtropical;64.7;6.1;70.8
Mauseth 1997;Angiosperm;Echinopsis schickendantzii;stem;cactus wood;succulent;subtropical;47.6;31.4;79
Mauseth 1997;Angiosperm;Haageocereus australis;stem;cactus wood;succulent;subtropical;61.3;25.8;87.1
Mauseth 1997;Angiosperm;Haageocereus platinospinus;stem;cactus wood;succulent;subtropical;51.7;12.7;64.4
Mauseth 1997;Angiosperm;Hylocereus lemairei;stem;cactus wood;succulent;subtropical;10.9;3.7;14.6
Mauseth 1997;Angiosperm;Hylocereus lemairei;stem;cactus wood;succulent;subtropical;29;63.8;92.8
Mauseth 1997;Angiosperm;Mila nealeana;stem;cactus wood;succulent;subtropical;24.9;33;57.9
Mauseth 1997;Angiosperm;Oreocereus doelzianus;stem;cactus wood;succulent;subtropical;60.6;10.6;71.2
Mauseth 1997;Angiosperm;Oreocereus doelzianus;stem;cactus wood;succulent;subtropical;64.4;19.2;83.6
Mauseth 1997;Angiosperm;Oreocereus fossulatus;stem;cactus wood;succulent;subtropical;36.6;8.2;44.8
Mauseth 1997;Angiosperm;Samaipaticereus corroanus;stem;cactus wood;succulent;subtropical;55.5;2.4;57.9
Mauseth 1997;Angiosperm;Samaipaticereus corroanus;stem;cactus wood;succulent;subtropical;51.4;44.9;96.3
Mauseth 1997;Angiosperm;Selenicereus grandiflorus;stem;cactus wood;succulent;subtropical;27.4;5.4;32.8
Mauseth 1997;Angiosperm;Selenicereus grandiflorus;stem;cactus wood;succulent;subtropical;32.4;52.7;85.1
Mauseth 1997;Angiosperm;Selenicereus inermis;stem;cactus wood;succulent;subtropical;26.2;7.1;33.3
Mauseth 1997;Angiosperm;Selenicereus inermis;stem;cactus wood;succulent;subtropical;36;28.5;64.5
Mauseth 1997;Angiosperm;Selenicereus testudo;stem;cactus wood;succulent;subtropical;49.2;4.3;53.5
Mauseth 1997;Angiosperm;Selenicereus testudo;stem;cactus wood;succulent;subtropical;59;26.4;85.4
Mauseth 1997;Angiosperm;Stephanocereus leucostele;stem;cactus wood;succulent;subtropical;41;14.4;55.4
Mauseth 1997;Angiosperm;Stephanocereus leucostele;stem;cactus wood;succulent;subtropical;36.3;45.7;82
Mauseth 1997;Angiosperm;Trichocereus coquimbanus;stem;cactus wood;succulent;subtropical;64.3;5;69.3
Mauseth 1997;Angiosperm;Werckleocereus glaber;stem;cactus wood;succulent;subtropical;27.5;17.7;45.2
Mauseth 1997;Angiosperm;Werckleocereus glaber;stem;cactus wood;succulent;subtropical;68.4;23.6;92
Meyr 1922;Gymnosperm;Abies alba;stem;trunk;gymno tree;temperate;6.57;;6.57
Meyr 1922;Gymnosperm;Abies amabilis;stem;trunk;gymno tree;temperate;6.68;;6.68
Meyr 1922;Gymnosperm;Abies balsamea;stem;trunk;gymno tree;temperate;5.68;;5.68
Meyr 1922;Gymnosperm;Abies concolor;stem;trunk;gymno tree;temperate;9.48;;9.48
Meyr 1922;Gymnosperm;Abies grandis;stem;trunk;gymno tree;temperate;6.68;;6.68
Meyr 1922;Gymnosperm;Abies grandis;stem;trunk;gymno tree;temperate;5.07;;5.07
Meyr 1922;Angiosperm;Acer macrophyllum;stem;trunk;angio tree;temperate;18.46;;
Meyr 1922;Angiosperm;Acer negundo;stem;trunk;angio tree;temperate;16.19;;
Meyr 1922;Angiosperm;Betula lenta;stem;trunk;angio tree;temperate;16.6;;
Meyr 1922;Angiosperm;Betula nigra;stem;trunk;angio tree;temperate;15.83;;
Meyr 1922;Angiosperm;Betula populifolia;stem;trunk;angio tree;temperate;9.32;;
Meyr 1922;Gymnosperm;Calocedrus decurrens;stem;trunk;gymno tree;temperate;8.9;;8.9
Meyr 1922;Angiosperm;Carya cordiformis;stem;trunk;angio tree;temperate;16.8;;
Meyr 1922;Angiosperm;Carya glabra;stem;trunk;angio tree;temperate;23.4;;
Meyr 1922;Angiosperm;Catalpa bignonioides;stem;trunk;angio tree;temperate;9.2;;
Meyr 1922;Angiosperm;Catalpa speciosa;stem;trunk;angio tree;temperate;13.3;;
Meyr 1922;Gymnosperm;Chamaecyparis lawsoniana;stem;trunk;gymno tree;temperate;5.57;;5.57
Meyr 1922;Gymnosperm;Chamaecyparis thyoides;stem;trunk;gymno tree;temperate;5.18;;5.18
Meyr 1922;Angiosperm;Fraxinus oregona;stem;trunk;angio tree;temperate;14.5;;
Meyr 1922;Angiosperm;Fraxinus quadrangulata;stem;trunk;angio tree;temperate;17.1;;
Meyr 1922;Angiosperm;Gleditsia triacanthos;stem;trunk;angio tree;temperate;18.46;;
Meyr 1922;Angiosperm;Hicoria ovata;stem;trunk;angio tree;temperate;19.97;;
Meyr 1922;Gymnosperm;Juniperus occidentalis;stem;trunk;gymno tree;temperate;6.8;;6.8
Meyr 1922;Gymnosperm;Juniperus virginiana;stem;trunk;gymno tree;temperate;6.26;;6.26
Meyr 1922;Gymnosperm;Larix laricina;stem;trunk;gymno tree;temperate;11.07;;11.07
Meyr 1922;Gymnosperm;Larix occidentalis;stem;trunk;gymno tree;temperate;10;;10
Meyr 1922;Angiosperm;Notholithocarpus densiflorus;stem;trunk;angio tree;subtropical;42.26;;
Meyr 1922;Gymnosperm;Picea engelmannii;stem;trunk;gymno tree;temperate;5.91;;5.91
Meyr 1922;Gymnosperm;Picea rubens;stem;trunk;gymno tree;temperate;4.98;;4.98
Meyr 1922;Gymnosperm;Picea sitchensis;stem;trunk;gymno tree;temperate;7.27;;7.27
Meyr 1922;Gymnosperm;Pinus banksiana;stem;trunk;gymno tree;temperate;8.1;;8.1
Meyr 1922;Gymnosperm;Pinus contorta;stem;trunk;gymno tree;temperate;5.7;;5.7
Meyr 1922;Gymnosperm;Pinus echinata;stem;trunk;gymno tree;temperate;8.05;;8.05
Meyr 1922;Gymnosperm;Pinus jeffreyi;stem;trunk;gymno tree;temperate;8.1;;8.1
Meyr 1922;Gymnosperm;Pinus lambertiana;stem;trunk;gymno tree;temperate;5.7;;5.7
Meyr 1922;Gymnosperm;Pinus monticola;stem;trunk;gymno tree;temperate;6.59;;6.59
Meyr 1922;Gymnosperm;Pinus palustris;stem;trunk;gymno tree;subtropical;8.3;;8.3
Meyr 1922;Gymnosperm;Pinus parviflora;stem;trunk;gymno tree;temperate;11.7;;11.7
Meyr 1922;Gymnosperm;Pinus ponderosa;stem;trunk;gymno tree;temperate;6.78;;6.78
Meyr 1922;Gymnosperm;Pinus resinosa;stem;trunk;gymno tree;temperate;7;;7
Meyr 1922;Gymnosperm;Pinus rigida;stem;trunk;gymno tree;temperate;7.25;;7.25
Meyr 1922;Gymnosperm;Pinus strobus;stem;trunk;gymno tree;temperate;5.39;;5.39
Meyr 1922;Gymnosperm;Pinus taeda;stem;trunk;gymno tree;temperate;7.63;;7.63
Meyr 1922;Gymnosperm;Pinus virginiana;stem;trunk;gymno tree;temperate;7.22;;7.22
Meyr 1922;Angiosperm;Populus tremuloides;stem;trunk;angio tree;temperate;9.63;;
Meyr 1922;Gymnosperm;Pseudotsuga menziesii;stem;trunk;gymno tree;temperate;7.37;;7.37
Meyr 1922;Angiosperm;Quercus bicolor;stem;trunk;angio tree;temperate;29.72;;
Meyr 1922;Angiosperm;Quercus candicans;stem;trunk;angio tree;temperate;21.9;;
Meyr 1922;Angiosperm;Quercus falcata;stem;trunk;angio tree;subtropical;18.8;;
Meyr 1922;Angiosperm;Quercus michauxii;stem;trunk;angio tree;temperate;25.3;;
Meyr 1922;Angiosperm;Quercus nigra;stem;trunk;angio tree;temperate;28.3;;
Meyr 1922;Angiosperm;Salix nigra;stem;trunk;angio tree;temperate;10.6;;
Meyr 1922;Gymnosperm;Sequoia sempervirens;stem;trunk;gymno tree;temperate;7.85;;7.85
Meyr 1922;Gymnosperm;Taxodium distichum;stem;trunk;gymno tree;temperate;6.62;;6.62
Meyr 1922;Gymnosperm;Thuja occidentalis;stem;trunk;gymno tree;temperate;3.43;;3.43
Meyr 1922;Gymnosperm;Thuja plicata;stem;trunk;gymno tree;temperate;6.93;;6.93
Meyr 1922;Angiosperm;Tilia americana;stem;trunk;angio tree;temperate;5.3;;
Meyr 1922;Gymnosperm;Tsuga canadensis;stem;trunk;gymno tree;temperate;7.09;;7.09
Meyr 1922;Gymnosperm;Tsuga canadensis;stem;trunk;gymno tree;temperate;5.96;;5.96
Meyr 1922;Gymnosperm;Tsuga heterophylla;stem;trunk;gymno tree;tropical;8.8;;8.8
Meyr 1922;Angiosperm;Ulmus alata;stem;trunk;angio tree;temperate;18.6;;
Meyr 1922;Angiosperm;Ulmus rubra;stem;trunk;angio tree;temperate;13.03;;
Myer 1922 as cited in Panshin 1980;Angiosperm;Quercus virginiana;stem;trunk;angio tree;subtropical;32.2;;
Myer 1922 as cited in Panshin 1980;Angiosperm;Ulmus thomasii;stem;trunk;angio tree;temperate;18.6;;
Ogunkunle 2008;Angiosperm;Ficus exasperata;stem;trunk;angio tree;tropical;32;24.6;56.6
Ogunkunle 2008;Angiosperm;Ficus ingens;stem;trunk;angio tree;tropical;20.1;32.7;52.8
Ogunkunle 2008;Angiosperm;Ficus lutea;stem;trunk;angio tree;tropical;32.8;20.2;53
Ogunkunle 2008;Angiosperm;Ficus mucuso;stem;trunk;angio tree;tropical;23.9;29.3;53.2
Ogunkunle 2008;Angiosperm;Ficus natalensis;stem;trunk;angio tree;tropical;28.9;26.3;55.2
Ogunkunle 2008;Angiosperm;Ficus ottonifolia;stem;trunk;angio tree;tropical;26.7;27.8;54.5
Ogunkunle 2008;Angiosperm;Ficus ovata;stem;trunk;angio tree;tropical;27.1;27.3;54.4
Ogunkunle 2008;Angiosperm;Ficus polita;stem;trunk;angio tree;tropical;21.9;26.6;48.5
Ogunkunle 2008;Angiosperm;Ficus populifolia;stem;trunk;angio tree;tropical;29.2;21.2;50.4
Ogunkunle 2008;Angiosperm;Ficus sur;stem;trunk;angio tree;tropical;22.4;30.9;53.3
Ogunkunle 2008;Angiosperm;Ficus thonningii;stem;trunk;angio tree;tropical;27.9;29;56.9
Ogunkunle 2008;Angiosperm;Ficus umbellata;stem;trunk;angio tree;tropical;32.1;24.4;56.5
Ogunkunle 2008;Angiosperm;Gmelina arborea;stem;trunk;angio tree;tropical;31;5.2;36.2
Ogunwusi 2012;Angiosperm;Albizia zygia;stem;trunk;angio tree;tropical;32.9;23.2;56.1
Ogunwusi 2012;Angiosperm;Isoberlinia doka;stem;trunk;angio tree;tropical;23.6;35;58.6
Ogunwusi 2012;Angiosperm;Lannea acida;stem;trunk;angio tree;tropical;67;0;67
Ogunwusi 2012;Angiosperm;Parkia filicoidea;stem;trunk;angio tree;tropical;24;23.4;47.4
Ogunwusi 2012;Angiosperm;Vitellaria paradoxa;stem;trunk;angio tree;tropical;22.7;12;34.7
Olano 2013;Gymnosperm;Juniperus thurifera;stem;trunk;gymno tree;subtropical;6.7;;6.7
Ona 1999;Angiosperm;Eucalyptus camaldulensis;stem;trunk;angio tree;subtropical;17.8;10.8;28.6
Ona 1999;Angiosperm;Eucalyptus globulus;stem;trunk;angio tree;subtropical;17.8;10.8;28.6
Ona 2001;Angiosperm;Eucalyptus camaldulensis;stem;trunk;angio tree;subtropical;20.66;14.1;34.76
Ona 2001;Angiosperm;Eucalyptus globuls;stem;trunk;angio tree;subtropical;15.2;6.3;21.5
Pande 2005;Angiosperm;Castanopsis echinocarpa;stem;trunk;angio tree;subtropical;31.75;23.75;55.5
Pande 2005;Angiosperm;Castanopsis indica;stem;trunk;angio tree;subtropical;30.8;21.2;52
Pande 2005;Angiosperm;Castanopsis lanceifolia;stem;trunk;angio tree;subtropical;35.6;22.3;57.9
Pande 2005;Angiosperm;Castanopsis purpurea;stem;trunk;angio tree;subtropical;24;22;46
Panshin 1980;Gymnosperm;Abies alba;stem;trunk;gymno tree;temperate;7.45;;7.45
Panshin 1980;Gymnosperm;Abies procera;stem;trunk;gymno tree;temperate;6.6;;6.6
Panshin 1980;Gymnosperm;Cupressus sempervirens;stem;trunk;gymno tree;subtropical;5.58;0.2;5.78
Panshin 1980;Gymnosperm;Juniperus excelsa;stem;trunk;gymno tree;subtropical;8.26;0.26;8.52
Panshin 1980;Gymnosperm;Larix decidua;stem;trunk;gymno tree;temperate;6.13;;6.13
Panshin 1980;Gymnosperm;Picea abies;stem;trunk;gymno tree;temperate;5.95;;5.95
Panshin 1980;Gymnosperm;Picea glauca;stem;trunk;gymno tree;temperate;7.1;;7.1
Panshin 1980;Gymnosperm;Pinus cembra;stem;trunk;gymno tree;temperate;9.24;;9.24
Panshin 1980;Gymnosperm;Pinus elliottii;stem;trunk;gymno tree;subtropical;11.7;;11.7
Panshin 1980;Gymnosperm;Pinus nigra;stem;trunk;gymno tree;subtropical;5.49;;5.49
Panshin 1980;Gymnosperm;Pinus pinaster;stem;trunk;gymno tree;subtropical;6.22;;6.22
Panshin 1980;Gymnosperm;Pinus strobus;stem;trunk;gymno tree;temperate;6;;6
Panshin 1980;Gymnosperm;Pinus strobus;stem;trunk;gymno tree;temperate;5.29;;5.29
Panshin 1980;Gymnosperm;Pinus sylvestris;stem;trunk;gymno tree;temperate;6.41;;6.41
Panshin 1980;Gymnosperm;Pseudotsuga menziesii;stem;trunk;gymno tree;temperate;7.22;;7.22
Petric 1975 as cited in Panshin 1980;Angiosperm;Acer campestre;stem;trunk;angio tree;temperate;15.4;;
Petric 1975 as cited in Panshin 1980;Angiosperm;Aesculus hippocastanum;stem;trunk;angio tree;temperate;13.2;;
Petric 1975 as cited in Panshin 1980;Angiosperm;Alnus incana;stem;trunk;angio tree;temperate;13.7;;
Petric 1975 as cited in Panshin 1980;Angiosperm;Betula pendula;stem;trunk;angio tree;temperate;10.1;;
Petric 1975 as cited in Panshin 1980;Angiosperm;Carpinus betulus;stem;trunk;angio tree;temperate;15.7;;
Petric 1975 as cited in Panshin 1980;Angiosperm;Castanea sativa;stem;trunk;angio tree;temperate;12.2;;
Petric 1975 as cited in Panshin 1980;Angiosperm;Fagus sylvatica;stem;trunk;angio tree;temperate;18.2;;
Petric 1975 as cited in Panshin 1980;Angiosperm;Fraxinus excelsior;stem;trunk;angio tree;temperate;14.7;;
Petric 1975 as cited in Panshin 1980;Angiosperm;Juglans regia;stem;trunk;angio tree;temperate;16.2;;
Petric 1975 as cited in Panshin 1980;Angiosperm;Morus alba;stem;trunk;angio tree;temperate;18.2;;
Petric 1975 as cited in Panshin 1980;Angiosperm;Ostrya carpinifolia;stem;trunk;angio tree;temperate;23.5;;
Petric 1975 as cited in Panshin 1980;Angiosperm;Platanus orientalis;stem;trunk;angio tree;temperate;25.6;;
Petric 1975 as cited in Panshin 1980;Angiosperm;Populus nigra;stem;trunk;angio tree;temperate;11.8;;
Petric 1975 as cited in Panshin 1980;Angiosperm;Prunus avium;stem;trunk;angio tree;temperate;16.4;;
Petric 1975 as cited in Panshin 1980;Angiosperm;Prunus domestica;stem;trunk;angio tree;temperate;26.3;;
Petric 1975 as cited in Panshin 1980;Angiosperm;Quercus ilex;stem;trunk;angio tree;subtropical;34.1;;
Petric 1975 as cited in Panshin 1980;Angiosperm;Quercus robur;stem;trunk;angio tree;temperate;20.6;;
Petric 1975 as cited in Panshin 1980;Angiosperm;Robinia pseudoacacia;stem;trunk;angio tree;temperate;19;;
Petric 1975 as cited in Panshin 1980;Angiosperm;Salix alba;stem;trunk;angio tree;temperate;9.2;;
Petric 1975 as cited in Panshin 1980;Angiosperm;Tilia platyphyllos;stem;trunk;angio tree;temperate;7.8;;
Petric 1975 as cited in Panshin 1980;Angiosperm;Ulmus minor;stem;trunk;angio tree;temperate;20.8;;
Plavcova unpublished;Gymnosperm;Abies alba;stem;branch;gymno tree;temperate;5.2;0;5.2
Plavcova unpublished;Angiosperm;Acer pseudoplatanus;stem;branch;angio tree;temperate;11.5;1.8;13.3
Plavcova unpublished;Angiosperm;Carpinus betulus;stem;branch;angio tree;temperate;17.6;6.2;23.8
Plavcova unpublished;Angiosperm;Ceiba aesculifolia;stem;branch;angio tree;tropical;24.8;42.9;67.7
Plavcova unpublished;Angiosperm;Clematis vitalba;stem;liana stem;climber;temperate;12.4;6.1;18.7
Plavcova unpublished;Angiosperm;Fagus sylvatica;stem;branch;angio tree;temperate;17.9;5.9;23.8
Plavcova unpublished;Angiosperm;Ficus benjamina;stem;branch;angio tree;tropical;16.4;30.7;47.1
Plavcova unpublished;Angiosperm;Ficus rubiginosa;stem;branch;angio tree;tropical;19.7;27.2;46.9
Plavcova unpublished;Angiosperm;Fraxinus excelsior;stem;branch;angio tree;temperate;13.3;5.4;18.7
Plavcova unpublished;Angiosperm;Liquidambar styraciflua;stem;branch;angio tree;temperate;16.5;2.6;19.1
Plavcova unpublished;Gymnosperm;Picea abies;stem;branch;gymno tree;temperate;7;0;7
Plavcova unpublished;Angiosperm;Prunus avium;stem;branch;angio tree;temperate;20.7;2.7;23.4
Plavcova unpublished;Angiosperm;Quercus robur;stem;branch;angio tree;temperate;10.9;22.7;33.6
Plavcova unpublished;Angiosperm;Robinia pseudoacacia;stem;branch;angio tree;temperate;9.9;20.9;30.8
Plavcova unpublished;Angiosperm;Terminalia catappa;stem;branch;angio tree;tropical;14.6;11.8;26.4
Plavcova unpublished;Angiosperm;Tilia cordata;stem;branch;angio tree;temperate;9.7;7.5;17.3
Poorter 2010;Angiosperm;Acacia bonariensis;stem;trunk;angio tree;tropical;;;46.1
Poorter 2010;Angiosperm;Ardisia ambigua;stem;trunk;angio tree;tropical;;;44
Poorter 2010;Angiosperm;Aspidosperma cylindrocarpon;stem;trunk;angio tree;tropical;;;23.4
Poorter 2010;Angiosperm;Aspidosperma rigidum;stem;trunk;angio tree;tropical;;;34.4
Poorter 2010;Angiosperm;Batocarpus amazonicus;stem;trunk;angio tree;tropical;;;37.7
Poorter 2010;Angiosperm;Cariniana estrellensis;stem;trunk;angio tree;tropical;;;43.8
Poorter 2010;Angiosperm;Cecropia concolor;stem;trunk;angio tree;tropical;;;32
Poorter 2010;Angiosperm;Cedrela fissilis;stem;trunk;angio tree;tropical;;;64.2
Poorter 2010;Angiosperm;Ceiba pentandra;stem;trunk;angio tree;tropical;;;55.7
Poorter 2010;Angiosperm;Cordia alliodora;stem;trunk;angio tree;tropical;;;41
Poorter 2010;Angiosperm;Cupania cinerea;stem;trunk;angio tree;tropical;;;40.5
Poorter 2010;Angiosperm;Dendropanax arboreus;stem;trunk;angio tree;tropical;;;19.1
Poorter 2010;Angiosperm;Erythrochiton fallax;stem;trunk;angio tree;tropical;;;38.9
Poorter 2010;Angiosperm;Eugenia sp;stem;trunk;angio tree;tropical;;;51.1
Poorter 2010;Angiosperm;Ficus boliviana;stem;trunk;angio tree;tropical;;;41
Poorter 2010;Angiosperm;Guarea guidonia;stem;trunk;angio tree;tropical;;;58.1
Poorter 2010;Angiosperm;Heliocarpus americanus;stem;trunk;angio tree;tropical;;;47.7
Poorter 2010;Angiosperm;Hirtella triandra;stem;trunk;angio tree;tropical;;;49.8
Poorter 2010;Angiosperm;Hura crepitans;stem;trunk;angio tree;tropical;;;24.9
Poorter 2010;Angiosperm;Inga edulis;stem;trunk;angio tree;tropical;;;46.9
Poorter 2010;Angiosperm;Licaria triandra;stem;trunk;angio tree;tropical;;;34.9
Poorter 2010;Angiosperm;Machaerium villosum;stem;trunk;angio tree;tropical;;;37.5
Poorter 2010;Angiosperm;Maclura tinctoria;stem;trunk;angio tree;tropical;;;41.1
Poorter 2010;Angiosperm;Margaritaria nobilis;stem;trunk;angio tree;tropical;;;37.2
Poorter 2010;Angiosperm;Ocotea guianensis;stem;trunk;angio tree;tropical;;;31.5
Poorter 2010;Angiosperm;Ocotea sp;stem;trunk;angio tree;tropical;;;22.9
Poorter 2010;Angiosperm;Ocotea sp;stem;trunk;angio tree;tropical;;;28.8
Poorter 2010;Angiosperm;Ormosia nobilis;stem;trunk;angio tree;tropical;;;51.1
Poorter 2010;Angiosperm;Picramnia sellowii;stem;trunk;angio tree;tropical;;;36.3
Poorter 2010;Angiosperm;Pourouma cecropiifolia;stem;trunk;angio tree;tropical;;;53.6
Poorter 2010;Angiosperm;Pouteria macrophylla;stem;trunk;angio tree;tropical;;;48.7
Poorter 2010;Angiosperm;Pouteria nemorosa;stem;trunk;angio tree;tropical;;;53.9
Poorter 2010;Angiosperm;Pseudolmedia laevis;stem;trunk;angio tree;tropical;;;51
Poorter 2010;Angiosperm;Sapindus saponaria;stem;trunk;angio tree;tropical;;;52.4
Poorter 2010;Angiosperm;Sapium glandulosum;stem;trunk;angio tree;tropical;;;39.4
Poorter 2010;Angiosperm;Schizolobium parahyba;stem;trunk;angio tree;tropical;;;26
Poorter 2010;Angiosperm;Swietenia macrophylla;stem;trunk;angio tree;tropical;;;49
Poorter 2010;Angiosperm;Tabernaemontana catharinensis;stem;trunk;angio tree;tropical;;;29.7
Poorter 2010;Angiosperm;Terminalia oblonga;stem;trunk;angio tree;tropical;;;51.5
Poorter 2010;Angiosperm;Trema micrantha;stem;trunk;angio tree;tropical;;;22.4
Poorter 2010;Angiosperm;Triplaris americana;stem;trunk;angio tree;tropical;;;13.4
Poorter 2010;Angiosperm;Zanthoxylum sprucei;stem;trunk;angio tree;tropical;;;43.2
Pratt 2007;Angiosperm;Ceanothus crassifolius;root;root;;subtropical;;;14
Pratt 2007;Angiosperm;Ceanothus crassifolius;stem;branch;angio tree;subtropical;;;11.1
Pratt 2007;Angiosperm;Ceanothus cuneatus;root;root;;subtropical;;;17.3
Pratt 2007;Angiosperm;Ceanothus cuneatus;stem;branch;angio tree;subtropical;;;12.8
Pratt 2007;Angiosperm;Ceanothus leucodermis;root;root;;subtropical;;;19.3
Pratt 2007;Angiosperm;Ceanothus leucodermis;stem;branch;angio tree;subtropical;;;19.2
Pratt 2007;Angiosperm;Ceanothus megacarpus;root;root;;subtropical;;;10.7
Pratt 2007;Angiosperm;Ceanothus megacarpus;stem;branch;angio tree;subtropical;;;12.7
Pratt 2007;Angiosperm;Ceanothus oliganthus;root;root;;subtropical;;;16.3
Pratt 2007;Angiosperm;Ceanothus oliganthus;stem;branch;angio tree;subtropical;;;15.6
Pratt 2007;Angiosperm;Ceanothus spinosus;root;root;;subtropical;;;18.2
Pratt 2007;Angiosperm;Ceanothus spinosus;stem;branch;angio tree;subtropical;;;11.9
Pratt 2007;Angiosperm;Rhamnus californica;root;root;;subtropical;;;22.6
Pratt 2007;Angiosperm;Rhamnus californica;stem;branch;angio tree;subtropical;;;11
Pratt 2007;Angiosperm;Rhamnus crocea;root;root;;subtropical;;;21
Pratt 2007;Angiosperm;Rhamnus crocea;stem;branch;angio tree;subtropical;;;15.8
Pratt 2007;Angiosperm;Rhamnus ilicifolia;root;root;;subtropical;;;18.7
Pratt 2007;Angiosperm;Rhamnus ilicifolia;stem;branch;angio tree;subtropical;;;8.31
Ruelle 2006;Angiosperm;Casearia javitensis;stem;trunk;angio tree;tropical;24.3;0;24.3
Ruelle 2006;Angiosperm;Cassipourea guianensis;stem;trunk;angio tree;tropical;18.2;2.5;20.7
Ruelle 2006;Angiosperm;Cupania scrobiculata;stem;trunk;angio tree;tropical;15;1.6;16.6
Ruelle 2006;Angiosperm;Dendrobangia boliviana;stem;trunk;angio tree;tropical;30;7;37
Ruelle 2006;Angiosperm;Eschweilera sagotiana;stem;trunk;angio tree;tropical;14.8;23.7;38.5
Ruelle 2006;Angiosperm;Goupia glabra;stem;trunk;angio tree;tropical;33;3.4;36.4
Ruelle 2006;Angiosperm;Guatteria schomburgkiana;stem;trunk;angio tree;tropical;22.2;16.6;38.8
Ruelle 2006;Angiosperm;Hebepetalum humiriifolium;stem;trunk;angio tree;tropical;16.8;2.9;19.7
Ruelle 2006;Angiosperm;Inga semialata;stem;trunk;angio tree;tropical;9.4;22.9;32.3
Ruelle 2006;Angiosperm;Lacmellea aczdeata;stem;trunk;angio tree;tropical;22.8;7.6;30.4
Ruelle 2006;Angiosperm;Lecythis poiteaui;stem;trunk;angio tree;tropical;14.7;27.4;42.1
Ruelle 2006;Angiosperm;Licania membranacea;stem;trunk;angio tree;tropical;13.2;13.5;26.7
Ruelle 2006;Angiosperm;Myrcia decorticans;stem;trunk;angio tree;tropical;20;8.1;28.1
Ruelle 2006;Angiosperm;Ocotea indirectinervia;stem;trunk;angio tree;tropical;14.3;5.9;20.2
Ruelle 2006;Angiosperm;Ormosia bolivarensis;stem;trunk;angio tree;tropical;13.8;38.3;52.1
Ruelle 2006;Angiosperm;Ormosia coutinhoi;stem;trunk;angio tree;tropical;9.4;44.1;53.5
Ruelle 2006;Angiosperm;Oxandra asbeckii;stem;trunk;angio tree;tropical;15.2;8.1;23.3
Ruelle 2006;Angiosperm;Protium opacum;stem;trunk;angio tree;tropical;10.7;0;10.7
Ruelle 2006;Angiosperm;Symphonia globulifera;stem;trunk;angio tree;tropical;19.2;34.2;53.4
Ruelle 2006;Angiosperm;Talisia simaboides;stem;trunk;angio tree;tropical;23.3;2.8;26.1
Ruelle 2006;Angiosperm;Trichilia schomburgkii;stem;trunk;angio tree;tropical;18.4;8;26.4
Schulz 1957;Angiosperm;Fagus sylvatica;stem;trunk;angio tree;temperate;17;5;22
Spicer 2007;Angiosperm;Acer rubrum;stem;trunk;angio tree;temperate;16.6;;
Spicer 2007;Angiosperm;Fraxinus americana;stem;trunk;angio tree;temperate;15.8;9.6;25
Spicer 2007;Gymnosperm;Pinus strobus;stem;trunk;gymno tree;temperate;3.98;;3.98
Spicer 2007;Angiosperm;Quercus rubra;stem;trunk;angio tree;temperate;18.5;5.1;24
Spicer 2007;Gymnosperm;Tsuga canadensis;stem;trunk;gymno tree;temperate;5.44;0.39;6
Sreevani 2014;Angiosperm;Eucalyptus tereticornis;stem;trunk;angio tree;subtropical;16.3;11.4;27.7
Suss 1972;Angiosperm;Fagus sylvatica;stem;trunk;angio tree;temperate;15.7;5.2;20.9
Taylor 1968;Angiosperm;Liriodendron tulipifera;stem;trunk;angio tree;temperate;11.7;;
Verdaguer 2002;Angiosperm;Erica calycina;root;root;;subtropical;11.8;;
Verdaguer 2002;Angiosperm;Erica calycina;root;root;;subtropical;26.5;;
Verdaguer 2002;Angiosperm;Erica coccinea;root;root;;subtropical;18.21;;
Verdaguer 2002;Angiosperm;Erica coccinea;root;root;;subtropical;15.33;;
