species_plant,mico,,,,
Bupleurum nordmannianum,AM,,,,
Bupleurum odontites,AM,,,,
Bursera fagaroides,AMNM,,,,
Bursera hindsiana,AM,,,,
Bursera microphylla,AM,,,,
Bussea occidentalis,AM,,,,
Butomus umbellatus,NM,,,,
Buxus colchica,AM,,,,
Buxus sempervirens,AM,,,,
Byrsonima aerugo,AM,,,,
Byrsonima stipulacea,AM,,,,
Cabralea canjerana,AM,,,,
Caesalpinia ferrea,AM,,,,
Caesalpinia pannosa,AM,,,,
Caiophora sylvestris,NM,,,,
Cajanus cajan,AM,,,,
Cajanus scarabaeoides,AM,,,,
Cakile maritima,AMNM,,,,
Caladium bicolor,AM,,,,
Calamagrostis arundinacea,AM,,,,
Calamagrostis canescens,AMNM,,,,
Calamagrostis epigeios,AM,,,,
Calamagrostis epigejos,AMNM,,,,
Calamagrostis obtusata,AMNM,,,,
Calamagrostis pseudophragmites,AM,,,,
Calamagrostis varia,AM,,,,
Calamagrostis villosa,AM,,,,
Calamintha grandiflora,AM,,,,
Calamintha nepeta,AM,,,,
Calamovilfa longifolia,AM,,,,
Calathea leopardina,AM,,,,
Calceolaria crenatiflora,AM,,,,
Calceolaria polyrrhiza,AM,,,,
Calendula officinalis,AMNM,,,,
Calestania palustris,AMNM,,,,
Calla palustris,NM,,,,
Calliandra brevipes,AM,,,,
Calliandra eriophylla,AM,,,,
Calliandra parvifolia,EM,,,,
Calliandra tweediei,EM,,,,
Calligonum aphyllum,NM,,,,
Calligonum caput-medusae,NM,,,,
Calligonum junceum,NM,,,,
Calligonum leucocladum,NM,,,,
Calligonum murex,NM,,,,
Callistephus chinensis,AMNM,,,,
Callitriche cophocarpa,NM,,,,
Callitriche hamulata,AMNM,,,,
Callitriche palustris,NM,,,,
Callitriche stagnalis,NM,,,,
Callitris endlicheri,AM,,,,
Callitris hugelii,AM,,,,
Callitris oblonga,AM,,,,
Callitris rhomboidea,AM,,,,
Callitropsis macrocarpa,AM,,,,
Callitropsis nootkatensis,AM,,,,
Calocedrus decurrens,AM,,,,
Calophyllum sclerophyllum,AM,,,,
Calophyllum soulattri,AM,,,,
Calopogonium caeruleum,AM,,,,
Calopogonium mucunoides,AM,,,,
Calotropis gigantea,AM,,,,
Caltha palustris,AMNM,,,,
Calycomelia lanceolata,AM,,,,
Calycomelia viridis,AMNM,,,,
Calystegia sepium,AM,,,,
Calystegia soldanella,NM,,,,
Camelina microcarpa,AMNM,,,,
Camissonia californica,AM,,,,
Campanula alpina,AM,,,,
Campanula altaica,AM,,,,
Campanula aucheri,AM,,,,
Campanula bellidifolia,AM,,,,
Campanula cervicaria,AM,,,,
Campanula collina,AMNM,,,,
Campanula darialica,AM,,,,
Campanula fragilis,AM,,,,
Campanula glomerata,AMNM,,,,
Campanula grossheimii,AM,,,,
Campanula hohenackeri,AMNM,,,,
Campanula lasiocarpa,AM,,,,
Campanula latifolia,AM,,,,
Campanula linifolia,AM,,,,
Campanula ochroleuca,AM,,,,
Campanula patula,AM,,,,
Campanula persicifolia,AMNM,,,,
Campanula punctata,AM,,,,
Campanula rapunculoides,AM,,,,
Campanula rotundifolia,AMNM,,,,
Campanula saxifraga,NM,,,,
Campanula sibirica,AM,,,,
Campanula thyrsoides,AM,,,,
Campanula torundifolia,AM,,,,
Campanula trachelium,AMNM,,,,
Campanula trautvetteri,AMNM,,,,
Campanula tridentata,AM,,,,
Campeiostachys dahurica,AM,,,,
Campnosperma auriculatum,AM,,,,
Campomanesia xanthocarpa,AM,,,,
Canarium schweinfurthii,AM,,,,
Canavalia rosea,AM,,,,
Canna indica,NM,,,,
Cannabis sativa,AM,,,,
Capparis sandwichiana,NM,,,,
Capsella bursa-pastoris,AMNM,,,,
Capsicum annuum,AM,,,,
Caragana arborescens,AMNM,,,,
Caragana pygmaea,AM,,,,
Caragana spinosa,AM,,,,
Caragana turkestanica,AM,,,,
Carapa guianensis,AM,,,,
Cardamine amara,NM,,,,
Cardamine bellidifolia,NM,,,,
Cardamine bulbifera,AMNM,,,,
Cardamine concatenata,NM,,,,
Cardamine corymbosa,NM,,,,
Cardamine flexuosa,AMNM,,,,
Cardamine hirsuta,AMNM,,,,
Cardamine impatiens,NM,,,,
Cardamine microphylla,NM,,,,
Cardamine pratensis,NM,,,,
Cardamine raphanifolia,NM,,,,
Cardamine trifolia,NM,,,,
Cardamine uliginosa,NM,,,,
Cardiospermum corindum,AM,,,,
Carduus acanthoides,AM,,,,
Carduus nutans,AM,,,,
Carex acuta,NM,,,,
Carex acutiformis,NM,,,,
Carex alba,NM,,,,
Carex albonigra,NM,,,,
Carex amphibola,NM,,,,
Carex annectens,AM,,,,
Carex aphylla,NM,,,,
Carex aquatilis,NM,,,,
Carex arenaria,AMNM,,,,
Carex atherodes,AMNM,,,,
Carex atrata,NM,,,,
Carex atropicta,NM,,,,
Carex aurea,AM,,,,
Carex baccans,AM,,,,
Carex bicknellii,AM,,,,
Carex bigelowii,NM,,,,
Carex blanda,AM,,,,
Carex boelckeiana,NM,,,,
Carex bostrychostigma,NM,,,,
Carex brevior,AM,,,,
Carex buschiorum,NM,,,,
Carex buxbaumii,AMNM,,,,
Carex canescens,NM,,,,
Carex capillaris,NM,,,,
Carex capitata,NM,,,,
Carex caryophyllea,NM,,,,
Carex cephalophora,AM,,,,
Carex cespitosa,NM,,,,
Carex chillanensis,AMNM,,,,
Carex chordorrhiza,NM,,,,
Carex contigua,NM,,,,
Carex crassiflora,AMNM,,,,
Carex crawei,AM,,,,
Carex cristatella,AM,,,,
Carex curta,NM,,,,
Carex davalliana,AM,,,,
Carex diandra,NM,,,,
Carex diluta,NM,,,,
Carex dioica,NM,,,,
Carex distans,NM,,,,
Carex disticha,AMNM,,,,
Carex divulsa,AM,,,,
Carex duriuscula,NM,,,,
Carex ebenea,NM,,,,
Carex echinata,NM,,,,
Carex enervis,NM,,,,
Carex ericetorum,NM,,,,
Carex ferruginea,AMNM,,,,
Carex filifolia,NM,,,,
Carex flacca,AMNM,,,,
Carex flava,AMNM,,,,
Carex fuliginosa,NM,,,,
Carex fusca,NM,,,,
Carex fuscula,AM,,,,
Carex gayana,NM,,,,
Carex globularis,NM,,,,
Carex goodenoughii,NM,,,,
Carex granularis,AM,,,,
Carex gravida,AM,,,,
Carex griffithii,NM,,,,
Carex heleonastes,NM,,,,
Carex hirta,AMNM,,,,
Carex hostiana,NM,,,,
Carex huetiana,NM,,,,
Carex humilis,NM,,,,
Carex hystericina,NM,,,,
Carex interior,NM,,,,
Carex lachenalii,NM,,,,
Carex lanuginosa,NM,,,,
Carex lasiocarpa,AMNM,,,,
Carex laxa,NM,,,,
Carex lepidocarpa,NM,,,,
Carex limosa,NM,,,,
Carex lindleyana,AM,,,,
Carex loliacea,NM,,,,
Carex lurida,AM,,,,
Carex macloviana,AMNM,,,,
Carex maritima,NM,,,,
Carex medwedewii,NM,,,,
Carex meinshauseniana,NM,,,,
Carex melanantha,NM,,,,
Carex melanostachya,NM,,,,
Carex membranacea,NM,,,,
Carex mertensii,NM,,,,
Carex meyenii,AM,,,,
Carex microchaeta,NM,,,,
Carex mollissima,NM,,,,
Carex montana,NM,,,,
Carex muricata,AMNM,,,,
Carex myosurus,AM,,,,
Carex nardina,NM,,,,
Carex obtusata,NM,,,,
Carex oederi,NM,,,,
Carex orbicularis,NM,,,,
Carex otrubae,NM,,,,
Carex oxyandra,NM,,,,
Carex pallescens,AMNM,,,,
Carex panicea,AMNM,,,,
Carex pauciflora,NM,,,,
Carex pediformis,NM,,,,
Carex pellita,NM,,,,
Carex pendula,NM,,,,
Carex pensylvanica,AM,,,,
Carex physodes,NM,,,,
Carex pilosa,NM,,,,
Carex planostachys,NM,,,,
Carex podocarpa,NM,,,,
Carex polyphylla,NM,,,,
Carex pseudocyperus,NM,,,,
Carex pseudofoetida,NM,,,,
Carex pyrenaica,NM,,,,
Carex remota,AMNM,,,,
Carex rhynchophysa,NM,,,,
Carex riparia,NM,,,,
Carex rosea,AM,,,,
Carex rostrata,NM,,,,
Carex rupestris,NM,,,,
Carex schmidtii,NM,,,,
Carex scoparia,AMNM,,,,
Carex songorica,NM,,,,
Carex speciosa,AM,,,,
Carex spicata,NM,,,,
Carex sprengelii,NM,,,,
Carex stenophylla,NM,,,,
Carex sterilis,NM,,,,
Carex stipata,AM,,,,
Carex stricta,AMNM,,,,
Carex subspathacea,NM,,,,
Carex supina,NM,,,,
Carex sylvatica,NM,,,,
Carex tenera,NM,,,,
Carex tenuiflora,NM,,,,
Carex tetanica,AM,,,,
Carex tribuloides,AM,,,,
Carex trichocarpa,AM,,,,
Carex trifida,NM,,,,
Carex tripartita,NM,,,,
Carex turkestanica,NM,,,,
Carex ursina,NM,,,,
Carex utriculata,NM,,,,
Carex vaginata,NM,,,,
Carex vesicaria,AMNM,,,,
Carex viridula,NM,,,,
Carex vulpina,NM,,,,
Carex vulpinoidea,AM,,,,
Carex wahuensis,AMNM,,,,
Carica papaya,AM,,,,
Caricina brizoidea,NM,,,,
Caricinella pulicaris,NM,,,,
Cariniana estrellensis,AM,,,,
Carlemannia tetragona,AM,,,,
Carlina biebersteinii,AM,,,,
Carlina vulgaris,AM,,,,
Carlowrightia arizonica,AM,,,,
Caroxylon gemmascens,NM,,,,
Carpinus betulus,EM,,,,
Carpinus cordata,EM,,,,
Carpinus orientalis,EM,,,,
Carthamus tinctorius,AM,,,,
Carum carvi,AMNM,,,,
Carum caucasicum,AMNM,,,,
Carya illinoinensis,EM,,,,
Carya pallida,EM,,,,
Caryocar glabrum,AM,,,,
Caryocar pallidum,AM,,,,
Caryota monostachys,AM,,,,
Casearia sylvestris,AM,,,,
Cassia chamaecrista,AM,,,,
Cassia grandis,AM,,,,
Castanea sativa,EM,,,,
Castanopsis borneensis,EM,,,,
Castanopsis indica,AMNM,,,,
Castanospermum australe,AM,,,,
Castela peninsularis,AM,,,,
Castilleja arctica,NM,,,,
Castilleja arvensis,NM,,,,
Casuarina cunninghamiana,EM,,,,
Casuarina equisetifolia,EM,,,,
Casuarina littoralis,EM,,,,
Catabrosa aquatica,NM,,,,
Catabrosella variegata,NM,,,,
Catalpa bungei,AM,,,,
Catapodium rigidum,AM,,,,
Catharanthus roseus,AM,,,,
Catolobus pendula,NM,,,,
Catostemma fragrans,AM,,,,
Caustis dioica,NM,,,,
Caustis flexuosa,AM,,,,
Cayratia japonica,AM,,,,
Ceanothus americanus,AM,,,,
Cecropia angulata,AM,,,,
Cecropia glaziovii,AM,,,,
Cecropia pachystachya,AM,,,,
Cedrela fissilis,AM,,,,
Cedrus atlantica,EM,,,,
Cedrus deodara,EM,,,,
Cedrus libani,EM,,,,
Ceiba pentandra,AM,,,,
Ceiba speciosa,AM,,,,
Celosia argentea,AMNM,,,,
Celtis caucasica,AM,,,,
Celtis philippensis,AM,,,,
Cenchrus ciliaris,AM,,,,
Cenchrus pedicellatus,AM,,,,
Cenchrus purpurascens,AM,,,,
Cenchrus setaceus,AM,,,,
Cenchrus setiger,AM,,,,
Cenchrus spicatus,AM,,,,
Centaurea cheiranthifolia,AM,,,,
Centaurea cyanus,AM,,,,
Centaurea diffusa,AM,,,,
Centaurea jacea,AM,,,,
Centaurea maculosa,AM,,,,
Centaurea nigra,AM,,,,
Centaurea phrygia,AM,,,,
Centaurea pratensis,AM,,,,
Centaurea pseudophrygia,AM,,,,
Centaurea pulchella,AMNM,,,,
Centaurea scabiosa,AM,,,,
Centaurea solstitialis,AM,,,,
Centaurea stoebe,AM,,,,
Centaurea subciliata,AM,,,,
Centaurea virgata,AM,,,,
Centaurium erythraea,AM,,,,
Centaurium littorale,AM,,,,
Centaurium pulchellum,AM,,,,
Centranthus ruber,NM,,,,
Centrolobium tomentosum,AM,,,,
Centrosema arenarium,AM,,,,
Centrosema brasilianum,AM,,,,
Centrosema macrocarpum,AM,,,,
Centrosema pascuorum,AM,,,,
Centrosema pubescens,AM,,,,
Cephalanthus occidentalis,AM,,,,
Cephalaria gigantea,AM,,,,
Cephaloschoenus longisetis,NM,,,,
Cephalotaxus fortunei,AM,,,,
Cephalotaxus harringtonia,AM,,,,
Cerastium alpinum,NM,,,,
Cerastium arcticum,NM,,,,
Cerastium argenteum,NM,,,,
Cerastium arvense,AMNM,,,,
Cerastium beeringianum,NM,,,,
Cerastium bungeanum,NM,,,,
Cerastium cerastoides,NM,,,,
Cerastium davuricum,NM,,,,
Cerastium dichotomum,NM,,,,
Cerastium fontanum,AMNM,,,,
Cerastium glomeratum,AMNM,,,,
Cerastium kasbek,NM,,,,
Cerastium kunthii,AMNM,,,,
Cerastium maximum,NM,,,,
Cerastium multiflorum,NM,,,,
Cerastium pauciflorum,NM,,,,
Cerastium purpurascens,NM,,,,
Cerastium semidecandrum,NM,,,,
Cerastium svanicum,NM,,,,
Cerastium uniflorum,AMNM,,,,
Cerastium uralense,NM,,,,
Cerastium vulgatum,AM,,,,
Cerasus avium,EM,,,,
Cerasus erythrocarpa,AMNM,,,,
Cerasus fruticosa,EM,,,,
Cerasus japonica,AM,,,,
Cerasus maximowiczii,NM,,,,
Cerasus vulgaris,EM,,,,
Ceratocarpus arenarius,NM,,,,
Ceratocarpus papposa,AM,,,,
Ceratonia siliqua,AM,,,,
Ceratopetalum apetalum,EM,,,,
Ceratophyllum demersum,NM,,,,
Ceratozamia mexicana,AM,,,,
Cereus uruguayanus,NM,,,,
Cerinthe glabra,AM,,,,
Ceropegia woodii,AM,,,,
Cespedesia spathulata,AM,,,,
Cestrum intermedium,AM,,,,
Chaenomeles japonica,AM,,,,
Chaenomeles speciosa,AM,,,,
Chaenorhinum minus,NM,,,,
Chaerophyllum aureum,AM,,,,
Chaerophyllum bulbosum,AMNM,,,,
Chaerophyllum humile,NM,,,,
Chaerophyllum roseum,AM,,,,
Chaerophyllum temulentum,AMNM,,,,
Chaetocarpus schomburgkianus,AM,,,,
Chaetospora ferruginea,AMNM,,,,
Chamaecrista apoucouita,AM,,,,
Chamaecrista chamaecristoides,AM,,,,
Chamaecyparis formosensis,AM,,,,
Chamaecyparis lawsoniana,AM,,,,
Chamaecyparis obtusa,AM,,,,
Chamaecyparis pisifera,AM,,,,
Chamaecyparis thyoides,AM,,,,
Chamaecytisus austriacus,AM,,,,
Chamaecytisus ruthenicus,AM,,,,
Chamaecytisus zingeri,AM,,,,
Chamaedrys flava,AM,,,,
Chamaedrys montana,AM,,,,
Chamaemelum lamellatum,NM,,,,
Chamaenerion montanum,AMNM,,,,
Chamaerops humilis,AMNM,,,,
Chamaesciadium acaule,AM,,,,
Chamaesphacos ilicifolius,NM,,,,
Chamaesyce atrococca,AM,,,,
Chamaesyce celastroides,AM,,,,
Chamaesyce degeneri,AM,,,,
Chamaesyce peplis,AM,,,,
Chamerion angustifolium,AMNM,,,,
Chassalia curviflora,AM,,,,
Chelidonium majus,NM,,,,
Chenopodium album,AMNM,,,,
Chenopodium ambrosioides,AMNM,,,,
Chenopodium bonus-henricus,NM,,,,
Chenopodium foliosum,NM,,,,
Chenopodium glaucum,NM,,,,
Chenopodium hybridum,NM,,,,
Chenopodium murale,NM,,,,
Chenopodium pratericola,NM,,,,
Chenopodium rubrum,NM,,,,
Cheredospsis purpurea,NM,,,,
Chimaphila umbellata,EM,,,,
Chisocheton siamensis,AM,,,,
Chlorophytum comosum,AM,,,,
Choerospondias axillaris,AM,,,,
Chondrilla ambigua,AM,,,,
Chondrilla brevirostris,AM,,,,
Chondrilla juncea,AM,,,,
Chorispora macropoda,NM,,,,
Chorispora sibirica,NM,,,,
Chosenia arbutifolia,EM,,,,
Chromolaena odorata,AM,,,,
Chrozophora sabulosa,AM,,,,
Chrysanthemum morifolium,AM,,,,
Chrysanthemum segetum,AM,,,,
Chrysanthemum zawadskii,AM,,,,
Chrysophyllum sanguinolentum,AM,,,,
Chrysopogon aciculatus,AM,,,,
Chrysosplenium alternifolium,AMNM,,,,
Chrysosplenium oppositifolium,NM,,,,
Chusquea culeou,AM,,,,
Cicendia filiformis,AM,,,,
Cicer arietinum,AM,,,,
Cicerbita alpina,AMNM,,,,
Cicerbita olgae,AM,,,,
Cicerbita pontica,AM,,,,
Cicerbita racemosa,AMNM,,,,
Cichorium endivia,AM,,,,
Cichorium intybus,AMNM,,,,
Cicuta virosa,NM,,,,
Cinna arundinacea,AM,,,,
Cinnamomum burmannii,AM,,,,
Cinnamomum japonicum,AM,,,,
Circaea alpina,AM,,,,
Circaea lutetiana,AM,,,,
Cirsium acaule,AM,,,,
Cirsium arvense,AM,,,,
Cirsium brevipapposum,AMNM,,,,
Cirsium canum,AM,,,,
Cirsium dissectum,AM,,,,
Cirsium eriophorum,AM,,,,
Cirsium helenioides,AM,,,,
Cirsium heterophyllum,AM,,,,
Cirsium oleraceum,AMNM,,,,
Cirsium palustre,AMNM,,,,
Cirsium pugnax,AM,,,,
Cirsium purpuratum,AM,,,,
Cirsium rhizocephalum,AM,,,,
Cirsium semenowii,AM,,,,
Cirsium setosum,AM,,,,
Cirsium simplex,AMNM,,,,
Cirsium tuberosum,AM,,,,
Cirsium vulgare,AMNM,,,,
Cistus incanus,EM,,,,
Cistus ladanifer,EM,,,,
Cistus monspeliensis,EM,,,,
Cistus tauricus,EM,,,,
Citharexylum myrianthum,AM,,,,
Citrullus lanatus,AM,,,,
Citrus aurantium,AM,,,,
Citrus jambhiri,AM,,,,
Citrus limon,AM,,,,
Citrus macrophylla,AM,,,,
Citrus paradisi,AM,,,,
Citrus reshni,AM,,,,
Citrus reticulata,AM,,,,
Citrus trifoliata,AM,,,,
Citrus x,AM,,,,
Citrus xaurantiifolia,AM,,,,
Cladium jamaicense,AM,,,,
Cladium mariscoides,AM,,,,
Cladium mariscus,AMNM,,,,
Clandestina squamaria,NM,,,,
Clarkia amoena,AM,,,,
Clarkia elegans,NM,,,,
Clathrotropis macrocarpa,AM,,,,
Claytonia perfoliata,NM,,,,
Claytonia sibirica,AM,,,,
Cleidion bracteosum,AM,,,,
Cleidion brevipetiolatum,AM,,,,
Cleistanthus sumatranus,AMNM,,,,
Cleistogenes squarrosa,NM,,,,
Clematis orientalis,AM,,,,
Clematis recta,AM,,,,
Clematis sibirica,AM,,,,
Clematis stans,AM,,,,
Clematis terniflora,AM,,,,
Clematis vitalba,AM,,,,
Clematis viticella,AM,,,,
Clermontia fauriei,AM,,,,
Clerodendrum japonicum,AM,,,,
Clethra barbinervis,AM,,,,
Clidemia hirta,AM,,,,
Climacoptera crassa,NM,,,,
Clinopodium vulgare,AMNM,,,,
Clivia nobilis,AM,,,,
Clusia grandiflora,AM,,,,
Clusia minor,AM,,,,
Clusia rotundata,AM,,,,
Coccoloba uvifera,EM,,,,
Coccoloba warmingii,AM,,,,
Cocculus orbiculatus,AM,,,,
Cochemiea poselgeri,AM,,,,
Cochlearia anglica,AMNM,,,,
Cochlearia danica,AM,,,,
Cochlearia groenlandica,NM,,,,
Cochlearia officinalis,AMNM,,,,
Cochlospermum vitifolium,AM,,,,
Cocos nucifera,AM,,,,
Coffea arabica,AM,,,,
Coincya monensis,NM,,,,
Coix lacryma-jobi,AM,,,,
Colchicum autumnale,AM,,,,
Colebrookea oppositifolia,AM,,,,
Coleus parviflorus,AM,,,,
Colletia hystrix,AM,,,,
Collinsonia canadensis,AM,,,,
Colobanthus apetalus,AM,,,,
Colobanthus kerguelensis,NM,,,,
Colobanthus lycopodioides,NM,,,,
Colocasia esculenta,AM,,,,
Colpodium humile,AMNM,,,,
Colpodium versicolor,AMNM,,,,
Colubrina glabra,AM,,,,
Colubrina glandulosa,AM,,,,
Colubrina oppositifolia,AM,,,,
Comarum palustre,AMNM,,,,
Comastoma tenellum,AM,,,,
Combretocapus rotundatus,NM,,,,
Commelina communis,AMNM,,,,
Comptonia peregrina,AM,,,,
Condalia globosa,AM,,,,
Condea laniflora,AM,,,,
Conium maculatum,AM,,,,
Conoclinium coelestinum,AM,,,,
Conopodium majus,AM,,,,
Conospermum longifolium,AM,,,,
Conospermum taxifolium,AM,,,,
Consolida ajacis,AM,,,,
Consolida camptocarpa,AM,,,,
Consolida regalis,AM,,,,
Consolida rugulosa,AM,,,,
Convallaria majalis,AMNM,,,,
Convolvulus ammannii,AM,,,,
Convolvulus arvensis,AMNM,,,,
Convolvulus elegantissimus,AM,,,,
Convolvulus eyreanus,AM,,,,
Convolvulus fruticosus,AM,,,,
Convolvulus hamadae,NM,,,,
Convolvulus subsericeus,AM,,,,
Convolvulus tricolor,AM,,,,
Conyza bonariensis,AMNM,,,,
Conyza canadensis,AMNM,,,,
Copaiba mopane,AM,,,,
Copaifera langsdorffii,AM,,,,
Coprosma ernodeoides,AM,,,,
Coprosma kauensis,AM,,,,
Coprosma perpusilla,NM,,,,
Coprosma robusta,AM,,,,
Corallodiscus lanuginosus,AM,,,,
Corchorus olitorius,AM,,,,
Corchorus tridens,AM,,,,
Cordia alliodora,AM,,,,
Cordia ecalyculata,AM,,,,
Cordia trichotoma,AM,,,,
Cordyla pinnata,AM,,,,
Cordyline australis,NM,,,,
Coreopsis tinctoria,AM,,,,
Coriandrum sativum,AM,,,,
Coriaria nepalensis,AM,,,,
Corispermum lehmannianum,NM,,,,
Corispermum papillosum,NM,,,,
Cormus domestica,AM,,,,
Cornus alba,AMNM,,,,
Cornus florida,AM,,,,
Cornus sericea,AM,,,,
Cornus sibirica,AM,,,,
Cornus stolonifera,AM,,,,
Cornus suecica,AM,,,,
Coronilla balansae,AM,,,,
Coronilla emeroides,AM,,,,
Coronilla scorpioides,AM,,,,
Coronilla varia,AMNM,,,,
Cortusa matthioli,AM,,,,
Corydalis alpestris,AM,,,,
Corydalis caucasica,NM,,,,
Corydalis conorhiza,AM,,,,
Corydalis lutea,NM,,,,
Corydalis schanginii,NM,,,,
Corydalis solida,AMNM,,,,
Corylus avellana,EM,,,,
Corylus colurna,EM,,,,
Corylus heterophylla,EM,,,,
Corylus mandshurica,EM,,,,
Corymbia citriodora,EM,,,,
Corymbia torelliana,EM,,,,
Corynephorus canescens,AMNM,,,,
Coryphantha radians,AM,,,,
Cosmos bipinnatus,NM,,,,
Cosmos phothea,AM,,,,
Costus scaber,AM,,,,
Costus spiralis,AM,,,,
Cota tinctoria,AM,,,,
Cotinus coggygria,AM,,,,
Cotoneaster dammeri,AM,,,,
Cotoneaster hissaricus,AM,,,,
Cotoneaster integerrimus,AM,,,,
Cotoneaster lucidus,AM,,,,
Cotoneaster melanocarpus,AM,,,,
Cotoneaster multiflorus,AM,,,,
Cotoneaster nummularioides,AM,,,,
Cotoneaster sanguineus,AM,,,,
Cotoneaster subacutus,AM,,,,
Cotoneaster submultiflorus,AM,,,,
Cotoneaster tomentosus,AM,,,,
Cotula plumose,NM,,,,
Couepia exflexa,AM,,,,
Coula edulis,AM,,,,
Couratari guianensis,AM,,,,
Cousinia affinis,AM,,,,
Cousinia alpestris,AM,,,,
Cousinia astracanica,AM,,,,
Cousinia franchetii,AM,,,,
Cousinia hamadae,AM,,,,
Cousinia microcarpa,AM,,,,
Cousinia verticillaris,AM,,,,
Crassocephalum crepidioides,AM,,,,
Crassula aquatica,NM,,,,
Crassula arborescens,NM,,,,
Crassula moschata,NM,,,,
Crassula perfoliata,NM,,,,
Crassula rupestris,AM,,,,
Crassula schimperi,AM,,,,
Crataegus almaatensis,AM,,,,
Crataegus calycina,AM,,,,
Crataegus chlorocarpa,AM,,,,
Crataegus laevigata,AM,,,,
Crataegus maximowiczii,AMNM,,,,
Crataegus monogyna,AM,,,,
Crataegus pinnatifida,AMNM,,,,
Crataegus pontica,AM,,,,
Crataegus turkestanica,AM,,,,
Cratoxylum arborescens,AM,,,,
Crepidiastrum denticulatum,AM,,,,
Crepis aurea,AM,,,,
Crepis biennis,AM,,,,
Crepis capillaris,AM,,,,
Crepis chrysantha,AM,,,,
Crepis foetida,AM,,,,
Crepis mollis,AM,,,,
Crepis multicaulis,AM,,,,
Crepis oreades,AM,,,,
Crepis paludosa,AMNM,,,,
Crepis praemorsa,AM,,,,
Crepis setosa,AM,,,,
Crepis sibirica,AM,,,,
Crepis tectorum,AMNM,,,,
Crinum asiaticum,AM,,,,
Crinum moorei,AM,,,,
Crocus reticulatus,AM,,,,
Crocus vernus,AM,,,,
Crotalaria burhia,AM,,,,
Crotalaria goreensis,AM,,,,
Crotalaria incana,AM,,,,
Crotalaria juncea,AM,,,,
Crotalaria medicaginea,AM,,,,
Crotalaria ochroleuca,AM,,,,
Croton ciliatoglandulifer,AM,,,,
Croton floribundus,AM,,,,
Croton kongensis,AM,,,,
Croton macrostachyus,AM,,,,
Croton punctatus,AM,,,,
Croton urucurana,AM,,,,
Cruciata krylovii,NM,,,,
Cruciata laevipes,AMNM,,,,
Cruciata taurica,AM,,,,
Cryptocarya angulata,AM,,,,
Cryptocarya mackinnoniana,AM,,,,
Cryptocarya yunnanensis,AM,,,,
Cryptosepalum tetraphyllum,EM,,,,
Ctenolepis cerasiformis,AM,,,,
Cucumis melo,AM,,,,
Cucumis sativus,AM,,,,
Cucurbita foetidissima,AM,,,,
Cucurbita pepo,AM,,,,
Cullen discolor,AM,,,,
Cullen pallidum,AM,,,,
Cuphea carthagenensis,AM,,,,
Cupressus funebris,AM,,,,
Cupressus lusitanica,AM,,,,
Cupressus macnabiana,AM,,,,
Cupressus sempervirens,AM,,,,
Cupressus torulosa,AM,,,,
Cyathochaeta avenacea,NM,,,,
Cycas circinalis,AM,,,,
Cycas revoluta,AM,,,,
Cyclachaena xanthiifolia,AM,,,,
Cyclamen hederifolium,AM,,,,
Cyclamen persicum,AM,,,,
Cyclamen purpurascens,AM,,,,
Cyclobalanopsis myrsinifolia,EM,,,,
Cydonia oblonga,AM,,,,
Cylicodiscus gabunensis,AM,,,,
Cylindropuntia cholla,AM,,,,
Cylindropuntia lindsayi,AM,,,,
Cymbalaria muralis,AM,,,,
Cymbopogon iwarancusa,AM,,,,
Cymbopogon nardus,AM,,,,
Cymbopogon winterianus,AM,,,,
Cynanchum rehmannii,AM,,,,
Cynanchum sibiricum,AM,,,,
Cynara cardunculus,AM,,,,
Cynodon dactylon,AM,,,,
Cynoglossum creticum,AM,,,,
Cynoglossum lanceolatum,AM,,,,
Cynoglossum officinale,AM,,,,
Cynometra alexandri,AM,,,,
Cynometra leonensis,AM,,,,
Cynometra sanagaensis,AM,,,,
Cynosurus cristatus,AM,,,,
Cynosurus echinatus,AMNM,,,,
Cyperus alternifolius,NM,,,,
Cyperus arenarius,AM,,,,
Cyperus articulatus,AM,,,,
Cyperus bulbosus,NM,,,,
Cyperus compressus,AM,,,,
Cyperus cuspidatus,NM,,,,
Cyperus cyperinus,AM,,,,
Cyperus decompositus,NM,,,,
Cyperus difformis,AM,,,,
Cyperus distans,AM,,,,
Cyperus dubius,AM,,,,
Cyperus esculentus,NM,,,,
Cyperus exaltatus,NM,,,,
Cyperus fuscus,NM,,,,
Cyperus glomeratus,NM,,,,
Cyperus haspan,AMNM,,,,
Cyperus iria,AM,,,,
Cyperus javanicus,NM,,,,
Cyperus laevigatus,AM,,,,
Cyperus ligularis,AM,,,,
Cyperus luzulae,NM,,,,
Cyperus meyenianus,AM,,,,
Cyperus microiria,NM,,,,
Cyperus niveus,AM,,,,
Cyperus nutans,AM,,,,
Cyperus odoratus,AM,,,,
Cyperus paniceus,AM,,,,
Cyperus pilosus,AM,,,,
Cyperus pohlii,AMNM,,,,
Cyperus pygmaeus,AM,,,,
Cyperus rotundus,AMNM,,,,
Cyperus scoparius,AM,,,,
Cyperus squarrosus,AMNM,,,,
Cyperus stoloniferous,AM,,,,
Cyperus surinamensis,AM,,,,
Cyperus tenuispica,NM,,,,
Cyrtandra longifolia,AM,,,,
Cyrtocarpa edulis,AM,,,,
Cytisus scoparius,AM,,,,
Dacrycarpus dacrydioides,AM,,,,
Dactylis glomerata,AMNM,,,,
