species_plant,mico,,,,
Alchemilla debilis,AM,,,,
Alchemilla decumbens,AMNM,,,,
Alchemilla dura,AM,,,,
Alchemilla effusa,AMNM,,,,
Alchemilla filicaulis,AMNM,,,,
Alchemilla glabra,AM,,,,
Alchemilla glaucescens,AM,,,,
Alchemilla glomerulans,AM,,,,
Alchemilla gracilis,AMNM,,,,
Alchemilla haraldi,AM,,,,
Alchemilla impexa,AMNM,,,,
Alchemilla inconcinna,AMNM,,,,
Alchemilla leiophylla,AM,,,,
Alchemilla lineata,AMNM,,,,
Alchemilla lunaria,AMNM,,,,
Alchemilla monticola,AMNM,,,,
Alchemilla obscura,AMNM,,,,
Alchemilla obtusa,AMNM,,,,
Alchemilla persica,AM,,,,
Alchemilla propinqua,AMNM,,,,
Alchemilla reniformis,AMNM,,,,
Alchemilla retinervis,NM,,,,
Alchemilla rubristipula,AMNM,,,,
Alchemilla sericata,AM,,,,
Alchemilla sericea,AM,,,,
Alchemilla sibirica,AM,,,,
Alchemilla sinuata,AMNM,,,,
Alchemilla smirnovii,AM,,,,
Alchemilla straminea,AMNM,,,,
Alchemilla strictissima,AM,,,,
Alchemilla strigosula,AMNM,,,,
Alchemilla subcrenata,AMNM,,,,
Alchemilla subglobosa,AMNM,,,,
Alchemilla tenuis,AMNM,,,,
Alchemilla tirolensis,AMNM,,,,
Alchemilla trunciloba,AMNM,,,,
Alchemilla undulata,AMNM,,,,
Alchemilla versipila,AMNM,,,,
Alchemilla vulgaris,AMNM,,,,
Alchemilla xanthochlora,AM,,,,
Alchornea cordifolia,AM,,,,
Alchornea tiliifolia,AM,,,,
Alchorneopsis floribunda,AM,,,,
Aldina insignis,EM,,,,
Aleurites moluccanus,AM,,,,
Alexgeorgea nitens,AM,,,,
Alhagi maurorum,AM,,,,
Alhagi pseudalhagi,AM,,,,
Alisma lanceolatum,AMNM,,,,
Alisma plantago-aquatica,AMNM,,,,
Alisma subcordatum,AM,,,,
Alisma triviale,AM,,,,
Allamanda schottii,AM,,,,
Allamanda violacea,AM,,,,
Allardia tridactylites,AM,,,,
Alliaria petiolata,NM,,,,
Allium albidum,AM,,,,
Allium ampeloprasum,AM,,,,
Allium borszczowii,AM,,,,
Allium canadense,AM,,,,
Allium carolinianum,AM,,,,
Allium caspium,AM,,,,
Allium cepa,AM,,,,
Allium decipiens,AM,,,,
Allium fedschenkoanum,AM,,,,
Allium fetisowii,AM,,,,
Allium fistulosum,AM,,,,
Allium jodanthum,AM,,,,
Allium karsianum,AM,,,,
Allium oleraceum,AMNM,,,,
Allium pallasii,NM,,,,
Allium porrum,AM,,,,
Allium pseudostrictum,AM,,,,
Allium sabulosum,AM,,,,
Allium sativum,AM,,,,
Allium saxatile,AM,,,,
Allium schoenoprasum,AM,,,,
Allium schubertii,AM,,,,
Allium scorodoprasum,AM,,,,
Allium stellatum,AM,,,,
Allium strictum,AM,,,,
Allium subhirsutum,AM,,,,
Allium tenuissimum,AM,,,,
Allium triquetrum,AM,,,,
Allium ursinum,AM,,,,
Allium victorialis,AM,,,,
Allium vineale,AM,,,,
Allium waldsteinii,AM,,,,
Allochrusa paniculata,NM,,,,
Allophylus schweinfurthii,AM,,,,
Alnus acuminata,EM,,,,
Alnus cordata,AM,,,,
Alnus glutinosa,EM,,,,
Alnus incana,EM,,,,
Alnus japonica,EM,,,,
Alnus viridis,EM,,,,
Alocasia longiloba,AM,,,,
Alocasia macrorrhizos,AMNM,,,,
Aloe arborescens,AM,,,,
Alopecurus aequalis,NM,,,,
Alopecurus arundinaceus,AM,,,,
Alopecurus geniculatus,AM,,,,
Alopecurus glacialis,AMNM,,,,
Alopecurus magellanicus,AMNM,,,,
Alopecurus myosuroides,AM,,,,
Alopecurus pratensis,AM,,,,
Alopecurus vaginatus,AMNM,,,,
Alpinia conchigera,AM,,,,
Alstonia boonei,AM,,,,
Alstroemeria aurea,AM,,,,
Althaea officinalis,AM,,,,
Alysicarpus rugosus,AM,,,,
Alysicarpus vaginalis,AM,,,,
Alyssum alyssoides,NM,,,,
Alyssum dasycarpum,NM,,,,
Alyssum linifolium,NM,,,,
Alyssum montanum,NM,,,,
Alyssum turkestanicum,NM,,,,
Alyxia oliviformis,AM,,,,
Amaranthus blitum,AM,,,,
Amaranthus caudatus,AMNM,,,,
Amaranthus graecizans,NM,,,,
Amaranthus hypochondriacus,AM,,,,
Amaranthus powellii,NM,,,,
