"study","campaign","species_plant","natural","leaf_habit","leaf_shape","plant_group","growth_form","woodiness","season","climate_class","log","lat","elevation","map","mat","mean_offset","se_offset","n_offset","mean_dexcess","se_dexcess","mean_lcexcess","se_lcexcess","SWLslope","SWLslope.std.error","SWLslope.pvalue","SWLintercept","SWLintercept.std.error","SWLintercept.pvalue","SWLrsquared","n_SWL","lang","absoluteOffset"
"EstradaMedina-2013","EstradaMedina-2013-200801-NA","Gymnopodium floribundum","natural","deciduous","broadleaved","angiosperm","tree","tree","not applicable","tropical",-89.58,20.87,11,990,25.8,-11.6769218698855,3.17510185750651,2,-8,4,-15.835,4.455,6.35020371501302,0.757882247023165,0.00356516657140858,-0.44756884258199,2.68558397301493,0.878240156414061,0.959019536882419,5,38.3720930232558,11.6769218698855
"EstradaMedina-2013","EstradaMedina-2013-200801-NA","Piscidia piscipula","natural","deciduous","broadleaved","angiosperm","tree","tree","not applicable","tropical",-89.58,20.87,11,990,25.8,-8.15161629736593,1.70040743002604,2,-2,5,-8.47,6.82,6.35020371501302,0.757882247023165,0.00356516657140858,-0.44756884258199,2.68558397301493,0.878240156414061,0.959019536882419,5,38.3720930232558,8.15161629736593
"Evaristo-2016","Evaristo-2016-201207-LUQ","swietenia macrophylla","natural",NA,NA,NA,NA,NA,"wet","tropical",-65.7167,18.31667,185,2467,24,-9.22798113242225,2.09908109882062,17,-2.78401463176471,2.46313974281054,-14.8456164695412,2.58786157128449,5.99070614530386,0.424319135281213,9.50364372313321e-18,2.77139226290948,0.591185874287498,2.79404750647951e-05,0.82255539117802,45,102.791666666667,9.22798113242225
"Evaristo-2016","Evaristo-2016-201207-SUS","swietenia mahagoni","natural",NA,NA,NA,NA,NA,"wet","tropical",-66.9,18.06667,150,1717,24,-4.49004406686563,0.621337881606486,11,-0.152424241890909,0.902453792152028,-11.1907242419017,0.868172683538312,6.16531215428212,0.623266911520834,1.06854109904226e-07,2.69251638988651,1.06250265551425,0.0238396760847153,0.874832659166222,16,71.5416666666667,4.49004406686563
"Evaristo-2016","Evaristo-2016-201302-LUQ","swietenia macrophylla","natural",NA,NA,NA,NA,NA,"dry","tropical",-65.7167,18.31667,185,2467,24,0.516220147528612,1.14568728875665,15,7.3923306,1.25167195489849,-4.17910873006667,1.33030897305676,6.51253149900735,1.00926572283367,9.31694449470598e-07,2.92156030260401,1.98353831766593,0.15325673225121,0.624838014180729,27,102.791666666667,0.516220147528612
"Evaristo-2016","Evaristo-2016-201302-SUS","swietenia mahagoni","natural",NA,NA,NA,NA,NA,"dry","tropical",-66.9,18.06667,150,1717,24,-3.88255199343591,0.568548966145817,10,0.210014720000001,0.945236386788208,-11.1281287764,0.910475151790607,5.13796086534436,0.505323626504071,2.39033928867282e-09,-2.56022276287092,1.3240444609614,0.0674369736973971,0.837901002139372,22,71.5416666666667,3.88255199343591
"Feikema-2010","Feikema-2010-199512-NA","Eucalyptus grandis","natural","evergreen","broadleaved","angiosperm","tree","tree","dry","warm",145.2667,-36.4333,200,525,15.2,-3.73147173500189,3.46070533197655,3,-13.0598766666667,5.49887794346063,-18.840285,4.93203811766833,3.45446266641971,0.389552802457226,7.11757980922283e-07,-16.5663852422536,1.08611856067021,1.12308280045946e-09,0.858136299384484,15,34.5394736842105,3.73147173500189
"Feikema-2010","Feikema-2010-199609-NA","Eucalyptus camaldulensis","natural","evergreen","broadleaved","angiosperm","tree","tree","wet","warm",145.2667,-36.4333,200,525,15.2,-9.78157376834259,4.76357193520772,3,-17.53224,7.62423374674028,-22.4464483333333,6.03496523595368,5.73365993044635,2.42850124738815,0.037748026627232,-9.78893694554498,8.29659543329299,0.262937685324614,0.336320283140332,13,34.5394736842105,9.78157376834259
"Geris-2017","Geris-2017-201211-ALLU","Pinus sylvestris","natural","evergreen","narrowleaved","gymnosperm","tree","tree","dry","warm",-3.12,56.9,680,1048,5,-9.93096359360159,3.93767089240216,2,-6.733135,4.25492500000001,-16.7457254,4.21830820000001,5.92059967491742,1.22707446208163,0.00849225656054045,-16.1457097544661,11.8838149891096,0.245831651360201,0.853374330594483,6,209.6,9.93096359360159
"Geris-2017","Geris-2017-201211-POD","Calluna vulgaris","natural","evergreen","narrowleaved","angiosperm","shrub","shrub","dry","warm",-3.12,56.9,680,1048,5,4.08889402144497,NA,1,1.54831,NA,-7.899486,NA,4.04102528671582,1.15090440919655,0.0170792427102503,-30.0520931502638,9.73939239179028,0.0272947282893695,0.711455350378444,7,209.6,4.08889402144497
